51,Bookshelf Symbol 7,Regular,BSSYM7.TTF,0,Bookshelf Symbol 7,BookshelfSymbolSeven,Bookshelf Symbol 7,2,Bookshelf Symbol 7,BookshelfSymbolSeven,0,400,4,2147483648,0,0,0,0,0,
52,Calibri,Regular,calibri.ttf,0,Calibri,Calibri,Calibri,1,Calibri,0,400,2,536871423,0,3825217279,3221234811,9,0,
53,Calibri,Bold,calibrib.ttf,0,Calibri,Calibri-Bold,Calibri Bold,2,Calibri,Calibri-Bold,0,700,262146,536871423,0,3825217279,3221234811,9,0,
54,Calibri,Italic,calibrii.ttf,0,Calibri,Calibri-Italic,Calibri Italic,2,Calibri,Calibri-Italic,1,400,66,536871359,0,3825209087,1073751163,1,0,
55,Calibri Light,Regular,calibril.ttf,0,Calibri Light,Calibri-Light,Calibri Light,2,Calibri Light,Calibri-Light,0,300,2,536871423,0,3825217279,3221234811,9,0,
56,Calibri Light,Italic,calibrili.ttf,0,Calibri Light,Calibri-LightItalic,Calibri Light Italic,2,Calibri Light,Calibri-LightItalic,1,300,66,536871359,0,3825209087,1073751163,1,0,
57,Calibri,Bold Italic,calibriz.ttf,0,Calibri,Calibri-BoldItalic,Calibri Bold Italic,2,Calibri,Calibri-BoldItalic,1,700,262210,536871359,0,3825209087,1073751163,1,0,
58,Californian FB,Bold,CALIFB.TTF,0,Californian FB,CalifornianFB-Bold,Californian FB Bold,2,Californian FB,CalifornianFB-Bold,0,700,262146,536870913,0,3,0,0,0,
59,Californian FB,Italic,CALIFI.TTF,0,Californian FB,CalifornianFB-Italic,Californian FB Italic,2,Californian FB,CalifornianFB-Italic,1,400,66,536870913,0,3,0,0,0,
60,Californian FB,Regular,CALIFR.TTF,0,Californian FB,CalifornianFB-Reg,Californian FB,2,Californian FB,CalifornianFB-Reg,0,400,2,536870913,0,3,0,0,0,
61,Calisto MT,Regular,CALIST.TTF,0,Calisto MT,CalistoMT,Calisto MT,2,Calisto MT,CalistoMT,0,400,2,536870913,0,3,0,0,0,
62,Calisto MT,Bold,CALISTB.TTF,0,Calisto MT,CalisMTBol,Calisto MT Bold,3,Calisto MT,CalisMTBol,Calisto MT Bold,0,700,262146,536870913,0,3,0,0,0,
63,Calisto MT,Bold Italic,CALISTBI.TTF,0,Calisto MT,CalistoMT-BoldItalic,Calisto MT Bold Italic,2,Calisto MT,CalistoMT-BoldItalic,1,700,262210,536870913,0,3,0,0,0,
64,Calisto MT,Italic,CALISTI.TTF,0,Calisto MT,CalistoMT-Italic,Calisto MT Italic,2,Calisto MT,CalistoMT-Italic,1,400,66,536870913,0,3,0,0,0,
65,Cambria,Regular,cambria.ttc,0,Cambria,Cambria,Cambria,1,Cambria,0,400,2,536871327,0,3758098175,1107305727,33554432,0,
66,Cambria,Bold,cambriab.ttf,0,Cambria,Cambria-Bold,Cambria Bold,2,Cambria,Cambria-Bold,0,700,262146,536871327,0,3758098175,1073742943,0,0,
67,Cambria,Italic,cambriai.ttf,0,Cambria,Cambria-Italic,Cambria Italic,2,Cambria,Cambria-Italic,1,400,66,536871327,0,3758098175,1073742943,0,0,
68,Cambria,Bold Italic,cambriaz.ttf,0,Cambria,Cambria-BoldItalic,Cambria Bold Italic,2,Cambria,Cambria-BoldItalic,1,700,262210,536871327,0,3758098175,1073742943,0,0,
69,Candara,Regular,Candara.ttf,0,Candara,Candara,Candara,1,Candara,0,400,2,536871327,0,2684355311,1073783883,0,0,
70,Candara,Bold,Candarab.ttf,0,Candara,Candara-Bold,Candara Bold,2,Candara,Candara-Bold,0,700,262146,536871327,0,2684355311,1073783883,0,0,
71,Candara,Italic,Candarai.ttf,0,Candara,Candara-Italic,Candara Italic,2,Candara,Candara-Italic,1,400,66,536871327,0,2684355311,1073783883,0,0,
72,Candara Light,Regular,Candaral.ttf,0,Candara Light,Candara-Light,Candara Light,3,Candara Light,Candara-Light,Candara,0,400,2,415,0,2684355327,2,0,0,
73,Candara Light,Italic,Candarali.ttf,0,Candara Light,Candara-LightItalic,Candara Light Italic,3,Candara Light,Candara-LightItalic,Candara,1,400,66,415,0,2684355327,2,0,0,
74,Candara,Bold Italic,Candaraz.ttf,0,Candara,Candara-BoldItalic,Candara Bold Italic,2,Candara,Candara-BoldItalic,1,700,262210,536871327,0,2684355311,1073783883,0,0,
75,Castellar,Regular,CASTELAR.TTF,0,Castellar,Castellar,Castellar,1,Castellar,0,400,0,536870913,0,3,0,0,0,
76,Century Schoolbook,Regular,CENSCBK.TTF,0,Century Schoolbook,CenturySchoolbook,Century Schoolbook,2,Century Schoolbook,CenturySchoolbook,0,400,2,536871071,3755409408,647,0,0,0,
77,Centaur,Regular,CENTAUR.TTF,0,Centaur,Centaur,Centaur,1,Centaur,0,400,2,536870913,0,3,0,0,0,
78,Century,Regular,CENTURY.TTF,0,Century,Century,Century,1,Century,0,400,2,536871071,3755409408,647,0,0,0,
79,Chiller,Regular,CHILLER.TTF,0,Chiller,Chiller-Regular,Chiller,2,Chiller,Chiller-Regular,0,400,0,536870913,0,3,0,0,0,
80,Colonna MT,Regular,COLONNA.TTF,0,Colonna MT,ColonnaMT,Colonna MT,2,Colonna MT,ColonnaMT,0,400,0,536870913,0,3,0,0,0,
81,Comic Sans MS,Regular,comic.ttf,0,Comic Sans MS,ComicSansMS,Comic Sans MS,2,Comic Sans MS,ComicSansMS,0,400,0,536871071,0,647,19,0,0,
82,Comic Sans MS,Bold,comicbd.ttf,0,Comic Sans MS,ComicSansMS-Bold,Comic Sans MS Bold,2,Comic Sans MS,ComicSansMS-Bold,0,700,262144,536871071,0,647,19,0,0,
83,Comic Sans MS,Italic,comici.ttf,0,Comic Sans MS,ComicSansMS-Italic,Comic Sans MS Italic,2,Comic Sans MS,ComicSansMS-Italic,1,400,64,536871071,0,647,19,0,0,
84,Comic Sans MS,Bold Italic,comicz.ttf,0,Comic Sans MS,ComicSansMS-BoldItalic,Comic Sans MS Bold Italic,2,Comic Sans MS,ComicSansMS-BoldItalic,1,700,262208,536871071,0,647,19,0,0,
85,Consolas,Regular,consola.ttf,0,Consolas,Consolas,Consolas,1,Consolas,0,400,1,1610613151,3755409408,3758098175,64767,1,0,
86,Consolas,Bold,consolab.ttf,0,Consolas,Consolas-Bold,Consolas Bold,2,Consolas,Consolas-Bold,0,700,262145,1610613151,3755409408,3758098175,64767,1,0,
87,Consolas,Italic,consolai.ttf,0,Consolas,Consolas-Italic,Consolas Italic,2,Consolas,Consolas-Italic,1,400,65,1610613151,3755409408,3758098175,64767,1,0,
88,Consolas,Bold Italic,consolaz.ttf,0,Consolas,Consolas-BoldItalic,Consolas Bold Italic,2,Consolas,Consolas-BoldItalic,1,700,262209,1610613151,3755409408,3758098175,64767,1,0,
